stimulus_id,case_id,condition_id,strategic_domain,case_title,representation_condition,human_only_information_condition,ai_correctness_condition,stage1_common_evidence,stage1_prompt,stage1_response_options,stage1_confidence_scale,stage2_ai_recommendation,stage2_ai_confidence,stage2_prompt,stage3_additional_information,stage3_prompt,stage3_response_options,stage3_confidence_scale,criterion_correct_final_decision,criterion_rule_version,manipulation_status
MSOD02_C3,MSOD02,C3,Mergers and acquisitions,Acquisition of a Smaller Competitor,low_qc_candidate,present,correct,The target has grown revenue by 14% annually over the last two years. The proposed purchase price is 11.5 times EBITDA. Customer concentration is high: the largest three customers contribute 46% of target revenue. Estimated annual cost synergies are ₹18 crore. Integration is expected to take 18 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,81,Review the AI recommendation before continuing.,A signed five-year renewal from the target's largest customer reduces projected concentration risk materially; this contract was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD02_C4,MSOD02,C4,Mergers and acquisitions,Acquisition of a Smaller Competitor,low_qc_candidate,present,incorrect,The target has grown revenue by 14% annually over the last two years. The proposed purchase price is 11.5 times EBITDA. Customer concentration is high: the largest three customers contribute 46% of target revenue. Estimated annual cost synergies are ₹18 crore. Integration is expected to take 18 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,81,Review the AI recommendation before continuing.,A signed five-year renewal from the target's largest customer reduces projected concentration risk materially; this contract was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD02_C5,MSOD02,C5,Mergers and acquisitions,Acquisition of a Smaller Competitor,high_qc_candidate,absent,correct,"Decision question: Do expected growth and ₹18 crore annual synergies compensate for the acquisition multiple, customer concentration, and 18-month integration burden?  Evidence: 1) The target has grown revenue by 14% annually over the last two years. 2) The proposed purchase price is 11.5 times EBITDA. 3) Customer concentration is high: the largest three customers contribute 46% of target revenue. 4) Estimated annual cost synergies are ₹18 crore. 5) Integration is expected to take 18 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,81,Review the AI recommendation before continuing.,No additional verified contract or customer-retention information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD02_C6,MSOD02,C6,Mergers and acquisitions,Acquisition of a Smaller Competitor,high_qc_candidate,absent,incorrect,"Decision question: Do expected growth and ₹18 crore annual synergies compensate for the acquisition multiple, customer concentration, and 18-month integration burden?  Evidence: 1) The target has grown revenue by 14% annually over the last two years. 2) The proposed purchase price is 11.5 times EBITDA. 3) Customer concentration is high: the largest three customers contribute 46% of target revenue. 4) Estimated annual cost synergies are ₹18 crore. 5) Integration is expected to take 18 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,81,Review the AI recommendation before continuing.,No additional verified contract or customer-retention information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD02_C7,MSOD02,C7,Mergers and acquisitions,Acquisition of a Smaller Competitor,high_qc_candidate,present,correct,"Decision question: Do expected growth and ₹18 crore annual synergies compensate for the acquisition multiple, customer concentration, and 18-month integration burden?  Evidence: 1) The target has grown revenue by 14% annually over the last two years. 2) The proposed purchase price is 11.5 times EBITDA. 3) Customer concentration is high: the largest three customers contribute 46% of target revenue. 4) Estimated annual cost synergies are ₹18 crore. 5) Integration is expected to take 18 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,81,Review the AI recommendation before continuing.,A signed five-year renewal from the target's largest customer reduces projected concentration risk materially; this contract was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD02_C8,MSOD02,C8,Mergers and acquisitions,Acquisition of a Smaller Competitor,high_qc_candidate,present,incorrect,"Decision question: Do expected growth and ₹18 crore annual synergies compensate for the acquisition multiple, customer concentration, and 18-month integration burden?  Evidence: 1) The target has grown revenue by 14% annually over the last two years. 2) The proposed purchase price is 11.5 times EBITDA. 3) Customer concentration is high: the largest three customers contribute 46% of target revenue. 4) Estimated annual cost synergies are ₹18 crore. 5) Integration is expected to take 18 months.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,81,Review the AI recommendation before continuing.,A signed five-year renewal from the target's largest customer reduces projected concentration risk materially; this contract was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C1,MSOD03,C1,Product launch,Launch of a Premium Product Line,low_qc_candidate,absent,correct,Pilot customers rate the product 4.3 out of 5. Unit contribution margin is estimated at 24%. National launch requires ₹42 crore in marketing and channel support. Unaided brand awareness in the target segment is 17%. The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,76,Review the AI recommendation before continuing.,No additional verified distribution commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C2,MSOD03,C2,Product launch,Launch of a Premium Product Line,low_qc_candidate,absent,incorrect,Pilot customers rate the product 4.3 out of 5. Unit contribution margin is estimated at 24%. National launch requires ₹42 crore in marketing and channel support. Unaided brand awareness in the target segment is 17%. The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,76,Review the AI recommendation before continuing.,No additional verified distribution commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C3,MSOD03,C3,Product launch,Launch of a Premium Product Line,low_qc_candidate,present,correct,Pilot customers rate the product 4.3 out of 5. Unit contribution margin is estimated at 24%. National launch requires ₹42 crore in marketing and channel support. Unaided brand awareness in the target segment is 17%. The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,76,Review the AI recommendation before continuing.,A national retail chain has signed a two-year minimum-volume distribution agreement that reduces the estimated break-even period to 17 months; the agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C4,MSOD03,C4,Product launch,Launch of a Premium Product Line,low_qc_candidate,present,incorrect,Pilot customers rate the product 4.3 out of 5. Unit contribution margin is estimated at 24%. National launch requires ₹42 crore in marketing and channel support. Unaided brand awareness in the target segment is 17%. The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,76,Review the AI recommendation before continuing.,A national retail chain has signed a two-year minimum-volume distribution agreement that reduces the estimated break-even period to 17 months; the agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C5,MSOD03,C5,Product launch,Launch of a Premium Product Line,high_qc_candidate,absent,correct,Decision question: Does the product's pilot acceptance and contribution margin justify national launch spending given low brand awareness and a 30-month base-case break-even period?  Evidence: 1) Pilot customers rate the product 4.3 out of 5. 2) Unit contribution margin is estimated at 24%. 3) National launch requires ₹42 crore in marketing and channel support. 4) Unaided brand awareness in the target segment is 17%. 5) The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,76,Review the AI recommendation before continuing.,No additional verified distribution commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C6,MSOD03,C6,Product launch,Launch of a Premium Product Line,high_qc_candidate,absent,incorrect,Decision question: Does the product's pilot acceptance and contribution margin justify national launch spending given low brand awareness and a 30-month base-case break-even period?  Evidence: 1) Pilot customers rate the product 4.3 out of 5. 2) Unit contribution margin is estimated at 24%. 3) National launch requires ₹42 crore in marketing and channel support. 4) Unaided brand awareness in the target segment is 17%. 5) The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,76,Review the AI recommendation before continuing.,No additional verified distribution commitment is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C7,MSOD03,C7,Product launch,Launch of a Premium Product Line,high_qc_candidate,present,correct,Decision question: Does the product's pilot acceptance and contribution margin justify national launch spending given low brand awareness and a 30-month base-case break-even period?  Evidence: 1) Pilot customers rate the product 4.3 out of 5. 2) Unit contribution margin is estimated at 24%. 3) National launch requires ₹42 crore in marketing and channel support. 4) Unaided brand awareness in the target segment is 17%. 5) The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,76,Review the AI recommendation before continuing.,A national retail chain has signed a two-year minimum-volume distribution agreement that reduces the estimated break-even period to 17 months; the agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD03_C8,MSOD03,C8,Product launch,Launch of a Premium Product Line,high_qc_candidate,present,incorrect,Decision question: Does the product's pilot acceptance and contribution margin justify national launch spending given low brand awareness and a 30-month base-case break-even period?  Evidence: 1) Pilot customers rate the product 4.3 out of 5. 2) Unit contribution margin is estimated at 24%. 3) National launch requires ₹42 crore in marketing and channel support. 4) Unaided brand awareness in the target segment is 17%. 5) The base-case break-even period is estimated at 30 months.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,76,Review the AI recommendation before continuing.,A national retail chain has signed a two-year minimum-volume distribution agreement that reduces the estimated break-even period to 17 months; the agreement was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C1,MSOD04,C1,AI investment,Enterprise AI Automation Platform,low_qc_candidate,absent,correct,The proposed AI platform costs ₹28 crore over three years. A pilot reduced average processing time by 23%. The pilot covered only 8% of the firm's transaction volume. Estimated annual labour and error-cost savings are ₹9 crore. The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,No additional verified integration evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C2,MSOD04,C2,AI investment,Enterprise AI Automation Platform,low_qc_candidate,absent,incorrect,The proposed AI platform costs ₹28 crore over three years. A pilot reduced average processing time by 23%. The pilot covered only 8% of the firm's transaction volume. Estimated annual labour and error-cost savings are ₹9 crore. The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,No additional verified integration evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C3,MSOD04,C3,AI investment,Enterprise AI Automation Platform,low_qc_candidate,present,correct,The proposed AI platform costs ₹28 crore over three years. A pilot reduced average processing time by 23%. The pilot covered only 8% of the firm's transaction volume. Estimated annual labour and error-cost savings are ₹9 crore. The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,"A completed technical audit confirms that three of the four legacy integrations can use existing certified interfaces, reducing implementation cost by ₹8 crore; this audit was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C4,MSOD04,C4,AI investment,Enterprise AI Automation Platform,low_qc_candidate,present,incorrect,The proposed AI platform costs ₹28 crore over three years. A pilot reduced average processing time by 23%. The pilot covered only 8% of the firm's transaction volume. Estimated annual labour and error-cost savings are ₹9 crore. The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,"A completed technical audit confirms that three of the four legacy integrations can use existing certified interfaces, reducing implementation cost by ₹8 crore; this audit was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C5,MSOD04,C5,AI investment,Enterprise AI Automation Platform,high_qc_candidate,absent,correct,Decision question: Do validated pilot gains and projected savings justify the three-year AI investment once limited pilot coverage and legacy-system integration are considered?  Evidence: 1) The proposed AI platform costs ₹28 crore over three years. 2) A pilot reduced average processing time by 23%. 3) The pilot covered only 8% of the firm's transaction volume. 4) Estimated annual labour and error-cost savings are ₹9 crore. 5) The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,No additional verified integration evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C6,MSOD04,C6,AI investment,Enterprise AI Automation Platform,high_qc_candidate,absent,incorrect,Decision question: Do validated pilot gains and projected savings justify the three-year AI investment once limited pilot coverage and legacy-system integration are considered?  Evidence: 1) The proposed AI platform costs ₹28 crore over three years. 2) A pilot reduced average processing time by 23%. 3) The pilot covered only 8% of the firm's transaction volume. 4) Estimated annual labour and error-cost savings are ₹9 crore. 5) The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,No additional verified integration evidence is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C7,MSOD04,C7,AI investment,Enterprise AI Automation Platform,high_qc_candidate,present,correct,Decision question: Do validated pilot gains and projected savings justify the three-year AI investment once limited pilot coverage and legacy-system integration are considered?  Evidence: 1) The proposed AI platform costs ₹28 crore over three years. 2) A pilot reduced average processing time by 23%. 3) The pilot covered only 8% of the firm's transaction volume. 4) Estimated annual labour and error-cost savings are ₹9 crore. 5) The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,80,Review the AI recommendation before continuing.,"A completed technical audit confirms that three of the four legacy integrations can use existing certified interfaces, reducing implementation cost by ₹8 crore; this audit was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD04_C8,MSOD04,C8,AI investment,Enterprise AI Automation Platform,high_qc_candidate,present,incorrect,Decision question: Do validated pilot gains and projected savings justify the three-year AI investment once limited pilot coverage and legacy-system integration are considered?  Evidence: 1) The proposed AI platform costs ₹28 crore over three years. 2) A pilot reduced average processing time by 23%. 3) The pilot covered only 8% of the firm's transaction volume. 4) Estimated annual labour and error-cost savings are ₹9 crore. 5) The platform requires integration with four legacy systems.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,80,Review the AI recommendation before continuing.,"A completed technical audit confirms that three of the four legacy integrations can use existing certified interfaces, reducing implementation cost by ₹8 crore; this audit was not available to the AI system.","After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C1,MSOD05,C1,Supply-chain strategy,Dual-Sourcing Critical Components,low_qc_candidate,absent,correct,The current sole supplier is 7% cheaper than the proposed secondary supplier. The current supplier has delivered on time in 94% of orders. A production stoppage costs approximately ₹1.6 crore per day. The component has an average replenishment lead time of 38 days. Qualifying the second supplier requires a one-time cost of ₹4.5 crore.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,79,Review the AI recommendation before continuing.,No additional verified disruption information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C2,MSOD05,C2,Supply-chain strategy,Dual-Sourcing Critical Components,low_qc_candidate,absent,incorrect,The current sole supplier is 7% cheaper than the proposed secondary supplier. The current supplier has delivered on time in 94% of orders. A production stoppage costs approximately ₹1.6 crore per day. The component has an average replenishment lead time of 38 days. Qualifying the second supplier requires a one-time cost of ₹4.5 crore.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,79,Review the AI recommendation before continuing.,No additional verified disruption information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C3,MSOD05,C3,Supply-chain strategy,Dual-Sourcing Critical Components,low_qc_candidate,present,correct,The current sole supplier is 7% cheaper than the proposed secondary supplier. The current supplier has delivered on time in 94% of orders. A production stoppage costs approximately ₹1.6 crore per day. The component has an average replenishment lead time of 38 days. Qualifying the second supplier requires a one-time cost of ₹4.5 crore.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,79,Review the AI recommendation before continuing.,A verified regulatory filing shows the current supplier's primary plant will undergo a mandatory six-week shutdown within the next year; this information was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C4,MSOD05,C4,Supply-chain strategy,Dual-Sourcing Critical Components,low_qc_candidate,present,incorrect,The current sole supplier is 7% cheaper than the proposed secondary supplier. The current supplier has delivered on time in 94% of orders. A production stoppage costs approximately ₹1.6 crore per day. The component has an average replenishment lead time of 38 days. Qualifying the second supplier requires a one-time cost of ₹4.5 crore.,"Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,79,Review the AI recommendation before continuing.,A verified regulatory filing shows the current supplier's primary plant will undergo a mandatory six-week shutdown within the next year; this information was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C5,MSOD05,C5,Supply-chain strategy,Dual-Sourcing Critical Components,high_qc_candidate,absent,correct,"Decision question: Does the resilience value of dual sourcing justify its price premium and qualification cost given disruption cost, present reliability, and replenishment lead time?  Evidence: 1) The current sole supplier is 7% cheaper than the proposed secondary supplier. 2) The current supplier has delivered on time in 94% of orders. 3) A production stoppage costs approximately ₹1.6 crore per day. 4) The component has an average replenishment lead time of 38 days. 5) Qualifying the second supplier requires a one-time cost of ₹4.5 crore.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,79,Review the AI recommendation before continuing.,No additional verified disruption information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C6,MSOD05,C6,Supply-chain strategy,Dual-Sourcing Critical Components,high_qc_candidate,absent,incorrect,"Decision question: Does the resilience value of dual sourcing justify its price premium and qualification cost given disruption cost, present reliability, and replenishment lead time?  Evidence: 1) The current sole supplier is 7% cheaper than the proposed secondary supplier. 2) The current supplier has delivered on time in 94% of orders. 3) A production stoppage costs approximately ₹1.6 crore per day. 4) The component has an average replenishment lead time of 38 days. 5) Qualifying the second supplier requires a one-time cost of ₹4.5 crore.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,79,Review the AI recommendation before continuing.,No additional verified disruption information is available beyond the common evidence.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,reject,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C7,MSOD05,C7,Supply-chain strategy,Dual-Sourcing Critical Components,high_qc_candidate,present,correct,"Decision question: Does the resilience value of dual sourcing justify its price premium and qualification cost given disruption cost, present reliability, and replenishment lead time?  Evidence: 1) The current sole supplier is 7% cheaper than the proposed secondary supplier. 2) The current supplier has delivered on time in 94% of orders. 3) A production stoppage costs approximately ₹1.6 crore per day. 4) The component has an average replenishment lead time of 38 days. 5) Qualifying the second supplier requires a one-time cost of ₹4.5 crore.","Based only on the information above, what should the organisation do?",approve|reject,0-100,approve,79,Review the AI recommendation before continuing.,A verified regulatory filing shows the current supplier's primary plant will undergo a mandatory six-week shutdown within the next year; this information was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
MSOD05_C8,MSOD05,C8,Supply-chain strategy,Dual-Sourcing Critical Components,high_qc_candidate,present,incorrect,"Decision question: Does the resilience value of dual sourcing justify its price premium and qualification cost given disruption cost, present reliability, and replenishment lead time?  Evidence: 1) The current sole supplier is 7% cheaper than the proposed secondary supplier. 2) The current supplier has delivered on time in 94% of orders. 3) A production stoppage costs approximately ₹1.6 crore per day. 4) The component has an average replenishment lead time of 38 days. 5) Qualifying the second supplier requires a one-time cost of ₹4.5 crore.","Based only on the information above, what should the organisation do?",approve|reject,0-100,reject,79,Review the AI recommendation before continuing.,A verified regulatory filing shows the current supplier's primary plant will undergo a mandatory six-week shutdown within the next year; this information was not available to the AI system.,"After considering all information now available, what should the organisation do?",approve|reject,0-100,approve,MSOD-v1.0-declared-key,candidate_not_empirically_pretested
