participant_id,presentation_order,case_id,condition_id,stimulus_id,representation_condition,human_only_information_condition,ai_correctness_condition
DEMO0012,3,MSOD06,C1,MSOD06_C1,low_qc_candidate,absent,correct
DEMO0012,4,MSOD09,C4,MSOD09_C4,low_qc_candidate,present,incorrect
DEMO0012,5,MSOD10,C5,MSOD10_C5,high_qc_candidate,absent,correct
DEMO0012,6,MSOD02,C5,MSOD02_C5,high_qc_candidate,absent,correct
DEMO0012,7,MSOD05,C8,MSOD05_C8,high_qc_candidate,present,incorrect
DEMO0012,8,MSOD04,C7,MSOD04_C7,high_qc_candidate,present,correct
DEMO0012,9,MSOD07,C2,MSOD07_C2,low_qc_candidate,absent,incorrect
DEMO0012,10,MSOD03,C6,MSOD03_C6,high_qc_candidate,absent,incorrect
DEMO0013,1,MSOD07,C3,MSOD07_C3,low_qc_candidate,present,correct
DEMO0013,2,MSOD06,C2,MSOD06_C2,low_qc_candidate,absent,incorrect
DEMO0013,3,MSOD03,C7,MSOD03_C7,high_qc_candidate,present,correct
DEMO0013,4,MSOD05,C1,MSOD05_C1,low_qc_candidate,absent,correct
DEMO0013,5,MSOD02,C6,MSOD02_C6,high_qc_candidate,absent,incorrect
DEMO0013,6,MSOD01,C5,MSOD01_C5,high_qc_candidate,absent,correct
DEMO0013,7,MSOD04,C8,MSOD04_C8,high_qc_candidate,present,incorrect
DEMO0013,8,MSOD09,C5,MSOD09_C5,high_qc_candidate,absent,correct
DEMO0013,9,MSOD08,C4,MSOD08_C4,low_qc_candidate,present,incorrect
DEMO0013,10,MSOD10,C6,MSOD10_C6,high_qc_candidate,absent,incorrect
DEMO0014,1,MSOD01,C6,MSOD01_C6,high_qc_candidate,absent,incorrect
DEMO0014,2,MSOD06,C3,MSOD06_C3,low_qc_candidate,present,correct
DEMO0014,3,MSOD07,C4,MSOD07_C4,low_qc_candidate,present,incorrect
DEMO0014,4,MSOD09,C6,MSOD09_C6,high_qc_candidate,absent,incorrect
DEMO0014,5,MSOD03,C8,MSOD03_C8,high_qc_candidate,present,incorrect
DEMO0014,6,MSOD10,C7,MSOD10_C7,high_qc_candidate,present,correct
DEMO0014,7,MSOD02,C7,MSOD02_C7,high_qc_candidate,present,correct
DEMO0014,8,MSOD04,C1,MSOD04_C1,low_qc_candidate,absent,correct
DEMO0014,9,MSOD08,C5,MSOD08_C5,high_qc_candidate,absent,correct
DEMO0014,10,MSOD05,C2,MSOD05_C2,low_qc_candidate,absent,incorrect
DEMO0015,1,MSOD10,C8,MSOD10_C8,high_qc_candidate,present,incorrect
DEMO0015,2,MSOD02,C8,MSOD02_C8,high_qc_candidate,present,incorrect
DEMO0015,3,MSOD04,C2,MSOD04_C2,low_qc_candidate,absent,incorrect
DEMO0015,4,MSOD09,C7,MSOD09_C7,high_qc_candidate,present,correct
DEMO0015,5,MSOD08,C6,MSOD08_C6,high_qc_candidate,absent,incorrect
DEMO0015,6,MSOD01,C7,MSOD01_C7,high_qc_candidate,present,correct
DEMO0015,7,MSOD06,C4,MSOD06_C4,low_qc_candidate,present,incorrect
DEMO0015,8,MSOD07,C5,MSOD07_C5,high_qc_candidate,absent,correct
DEMO0015,9,MSOD03,C1,MSOD03_C1,low_qc_candidate,absent,correct
DEMO0015,10,MSOD05,C3,MSOD05_C3,low_qc_candidate,present,correct
DEMO0016,1,MSOD09,C8,MSOD09_C8,high_qc_candidate,present,incorrect
DEMO0016,2,MSOD02,C1,MSOD02_C1,low_qc_candidate,absent,correct
DEMO0016,3,MSOD01,C8,MSOD01_C8,high_qc_candidate,present,incorrect
DEMO0016,4,MSOD04,C3,MSOD04_C3,low_qc_candidate,present,correct
DEMO0016,5,MSOD06,C5,MSOD06_C5,high_qc_candidate,absent,correct
DEMO0016,6,MSOD03,C2,MSOD03_C2,low_qc_candidate,absent,incorrect
DEMO0016,7,MSOD10,C1,MSOD10_C1,low_qc_candidate,absent,correct
DEMO0016,8,MSOD05,C4,MSOD05_C4,low_qc_candidate,present,incorrect
DEMO0016,9,MSOD07,C6,MSOD07_C6,high_qc_candidate,absent,incorrect
DEMO0016,10,MSOD08,C7,MSOD08_C7,high_qc_candidate,present,correct
DEMO0017,1,MSOD06,C6,MSOD06_C6,high_qc_candidate,absent,incorrect
DEMO0017,2,MSOD04,C4,MSOD04_C4,low_qc_candidate,present,incorrect
DEMO0017,3,MSOD07,C7,MSOD07_C7,high_qc_candidate,present,correct
DEMO0017,4,MSOD09,C1,MSOD09_C1,low_qc_candidate,absent,correct
DEMO0017,5,MSOD03,C3,MSOD03_C3,low_qc_candidate,present,correct
DEMO0017,6,MSOD01,C1,MSOD01_C1,low_qc_candidate,absent,correct
DEMO0017,7,MSOD10,C2,MSOD10_C2,low_qc_candidate,absent,incorrect
DEMO0017,8,MSOD05,C5,MSOD05_C5,high_qc_candidate,absent,correct
DEMO0017,9,MSOD08,C8,MSOD08_C8,high_qc_candidate,present,incorrect
DEMO0017,10,MSOD02,C2,MSOD02_C2,low_qc_candidate,absent,incorrect
DEMO0018,1,MSOD09,C2,MSOD09_C2,low_qc_candidate,absent,incorrect
DEMO0018,2,MSOD03,C4,MSOD03_C4,low_qc_candidate,present,incorrect
DEMO0018,3,MSOD05,C6,MSOD05_C6,high_qc_candidate,absent,incorrect
DEMO0018,4,MSOD01,C2,MSOD01_C2,low_qc_candidate,absent,incorrect
DEMO0018,5,MSOD07,C8,MSOD07_C8,high_qc_candidate,present,incorrect
DEMO0018,6,MSOD04,C5,MSOD04_C5,high_qc_candidate,absent,correct
DEMO0018,7,MSOD06,C7,MSOD06_C7,high_qc_candidate,present,correct
DEMO0018,8,MSOD02,C3,MSOD02_C3,low_qc_candidate,present,correct
DEMO0018,9,MSOD10,C3,MSOD10_C3,low_qc_candidate,present,correct
DEMO0018,10,MSOD08,C1,MSOD08_C1,low_qc_candidate,absent,correct
DEMO0019,1,MSOD02,C4,MSOD02_C4,low_qc_candidate,present,incorrect
DEMO0019,2,MSOD05,C7,MSOD05_C7,high_qc_candidate,present,correct
DEMO0019,3,MSOD07,C1,MSOD07_C1,low_qc_candidate,absent,correct
DEMO0019,4,MSOD10,C4,MSOD10_C4,low_qc_candidate,present,incorrect
DEMO0019,5,MSOD09,C3,MSOD09_C3,low_qc_candidate,present,correct
DEMO0019,6,MSOD04,C6,MSOD04_C6,high_qc_candidate,absent,incorrect
DEMO0019,7,MSOD01,C3,MSOD01_C3,low_qc_candidate,present,correct
DEMO0019,8,MSOD06,C8,MSOD06_C8,high_qc_candidate,present,incorrect
DEMO0019,9,MSOD03,C5,MSOD03_C5,high_qc_candidate,absent,correct
DEMO0019,10,MSOD08,C2,MSOD08_C2,low_qc_candidate,absent,incorrect
DEMO0020,1,MSOD05,C8,MSOD05_C8,high_qc_candidate,present,incorrect
DEMO0020,2,MSOD10,C5,MSOD10_C5,high_qc_candidate,absent,correct
DEMO0020,3,MSOD07,C2,MSOD07_C2,low_qc_candidate,absent,incorrect
DEMO0020,4,MSOD01,C4,MSOD01_C4,low_qc_candidate,present,incorrect
DEMO0020,5,MSOD03,C6,MSOD03_C6,high_qc_candidate,absent,incorrect
DEMO0020,6,MSOD02,C5,MSOD02_C5,high_qc_candidate,absent,correct
DEMO0020,7,MSOD04,C7,MSOD04_C7,high_qc_candidate,present,correct
DEMO0020,8,MSOD08,C3,MSOD08_C3,low_qc_candidate,present,correct
DEMO0020,9,MSOD09,C4,MSOD09_C4,low_qc_candidate,present,incorrect
DEMO0020,10,MSOD06,C1,MSOD06_C1,low_qc_candidate,absent,correct
DEMO0021,1,MSOD03,C7,MSOD03_C7,high_qc_candidate,present,correct
DEMO0021,2,MSOD06,C2,MSOD06_C2,low_qc_candidate,absent,incorrect
DEMO0021,3,MSOD08,C4,MSOD08_C4,low_qc_candidate,present,incorrect
DEMO0021,4,MSOD10,C6,MSOD10_C6,high_qc_candidate,absent,incorrect
DEMO0021,5,MSOD09,C5,MSOD09_C5,high_qc_candidate,absent,correct
DEMO0021,6,MSOD05,C1,MSOD05_C1,low_qc_candidate,absent,correct
DEMO0021,7,MSOD01,C5,MSOD01_C5,high_qc_candidate,absent,correct
DEMO0021,8,MSOD02,C6,MSOD02_C6,high_qc_candidate,absent,incorrect
DEMO0021,9,MSOD07,C3,MSOD07_C3,low_qc_candidate,present,correct
DEMO0021,10,MSOD04,C8,MSOD04_C8,high_qc_candidate,present,incorrect
DEMO0022,1,MSOD03,C8,MSOD03_C8,high_qc_candidate,present,incorrect
DEMO0022,2,MSOD04,C1,MSOD04_C1,low_qc_candidate,absent,correct
DEMO0022,3,MSOD06,C3,MSOD06_C3,low_qc_candidate,present,correct
DEMO0022,4,MSOD07,C4,MSOD07_C4,low_qc_candidate,present,incorrect
DEMO0022,5,MSOD05,C2,MSOD05_C2,low_qc_candidate,absent,incorrect
DEMO0022,6,MSOD01,C6,MSOD01_C6,high_qc_candidate,absent,incorrect
DEMO0022,7,MSOD02,C7,MSOD02_C7,high_qc_candidate,present,correct
DEMO0022,8,MSOD09,C6,MSOD09_C6,high_qc_candidate,absent,incorrect
DEMO0022,9,MSOD10,C7,MSOD10_C7,high_qc_candidate,present,correct
DEMO0022,10,MSOD08,C5,MSOD08_C5,high_qc_candidate,absent,correct
DEMO0023,1,MSOD07,C5,MSOD07_C5,high_qc_candidate,absent,correct
DEMO0023,2,MSOD02,C8,MSOD02_C8,high_qc_candidate,present,incorrect
DEMO0023,3,MSOD10,C8,MSOD10_C8,high_qc_candidate,present,incorrect
DEMO0023,4,MSOD04,C2,MSOD04_C2,low_qc_candidate,absent,incorrect
DEMO0023,5,MSOD05,C3,MSOD05_C3,low_qc_candidate,present,correct
DEMO0023,6,MSOD03,C1,MSOD03_C1,low_qc_candidate,absent,correct
DEMO0023,7,MSOD08,C6,MSOD08_C6,high_qc_candidate,absent,incorrect
DEMO0023,8,MSOD06,C4,MSOD06_C4,low_qc_candidate,present,incorrect
DEMO0023,9,MSOD01,C7,MSOD01_C7,high_qc_candidate,present,correct
DEMO0023,10,MSOD09,C7,MSOD09_C7,high_qc_candidate,present,correct
DEMO0024,1,MSOD02,C1,MSOD02_C1,low_qc_candidate,absent,correct
DEMO0024,2,MSOD06,C5,MSOD06_C5,high_qc_candidate,absent,correct
DEMO0024,3,MSOD01,C8,MSOD01_C8,high_qc_candidate,present,incorrect
DEMO0024,4,MSOD07,C6,MSOD07_C6,high_qc_candidate,absent,incorrect
DEMO0024,5,MSOD10,C1,MSOD10_C1,low_qc_candidate,absent,correct
DEMO0024,6,MSOD05,C4,MSOD05_C4,low_qc_candidate,present,incorrect
DEMO0024,7,MSOD09,C8,MSOD09_C8,high_qc_candidate,present,incorrect
DEMO0024,8,MSOD03,C2,MSOD03_C2,low_qc_candidate,absent,incorrect
DEMO0024,9,MSOD08,C7,MSOD08_C7,high_qc_candidate,present,correct
DEMO0024,10,MSOD04,C3,MSOD04_C3,low_qc_candidate,present,correct
DEMO0025,1,MSOD05,C5,MSOD05_C5,high_qc_candidate,absent,correct
DEMO0025,2,MSOD03,C3,MSOD03_C3,low_qc_candidate,present,correct
DEMO0025,3,MSOD06,C6,MSOD06_C6,high_qc_candidate,absent,incorrect
DEMO0025,4,MSOD02,C2,MSOD02_C2,low_qc_candidate,absent,incorrect
DEMO0025,5,MSOD10,C2,MSOD10_C2,low_qc_candidate,absent,incorrect
DEMO0025,6,MSOD09,C1,MSOD09_C1,low_qc_candidate,absent,correct
DEMO0025,7,MSOD04,C4,MSOD04_C4,low_qc_candidate,present,incorrect
DEMO0025,8,MSOD01,C1,MSOD01_C1,low_qc_candidate,absent,correct
DEMO0025,9,MSOD08,C8,MSOD08_C8,high_qc_candidate,present,incorrect
DEMO0025,10,MSOD07,C7,MSOD07_C7,high_qc_candidate,present,correct
DEMO0026,1,MSOD09,C2,MSOD09_C2,low_qc_candidate,absent,incorrect
DEMO0026,2,MSOD06,C7,MSOD06_C7,high_qc_candidate,present,correct
DEMO0026,3,MSOD07,C8,MSOD07_C8,high_qc_candidate,present,incorrect
DEMO0026,4,MSOD01,C2,MSOD01_C2,low_qc_candidate,absent,incorrect
DEMO0026,5,MSOD04,C5,MSOD04_C5,high_qc_candidate,absent,correct
DEMO0026,6,MSOD10,C3,MSOD10_C3,low_qc_candidate,present,correct
DEMO0026,7,MSOD02,C3,MSOD02_C3,low_qc_candidate,present,correct
DEMO0026,8,MSOD03,C4,MSOD03_C4,low_qc_candidate,present,incorrect
DEMO0026,9,MSOD05,C6,MSOD05_C6,high_qc_candidate,absent,incorrect
DEMO0026,10,MSOD08,C1,MSOD08_C1,low_qc_candidate,absent,correct
DEMO0027,1,MSOD08,C2,MSOD08_C2,low_qc_candidate,absent,incorrect
DEMO0027,2,MSOD09,C3,MSOD09_C3,low_qc_candidate,present,correct
DEMO0027,3,MSOD05,C7,MSOD05_C7,high_qc_candidate,present,correct
DEMO0027,4,MSOD10,C4,MSOD10_C4,low_qc_candidate,present,incorrect
DEMO0027,5,MSOD04,C6,MSOD04_C6,high_qc_candidate,absent,incorrect
DEMO0027,6,MSOD02,C4,MSOD02_C4,low_qc_candidate,present,incorrect
DEMO0027,7,MSOD07,C1,MSOD07_C1,low_qc_candidate,absent,correct
DEMO0027,8,MSOD06,C8,MSOD06_C8,high_qc_candidate,present,incorrect
DEMO0027,9,MSOD01,C3,MSOD01_C3,low_qc_candidate,present,correct
DEMO0027,10,MSOD03,C5,MSOD03_C5,high_qc_candidate,absent,correct
DEMO0028,1,MSOD05,C8,MSOD05_C8,high_qc_candidate,present,incorrect
DEMO0028,2,MSOD08,C3,MSOD08_C3,low_qc_candidate,present,correct
DEMO0028,3,MSOD10,C5,MSOD10_C5,high_qc_candidate,absent,correct
DEMO0028,4,MSOD09,C4,MSOD09_C4,low_qc_candidate,present,incorrect
DEMO0028,5,MSOD04,C7,MSOD04_C7,high_qc_candidate,present,correct
DEMO0028,6,MSOD07,C2,MSOD07_C2,low_qc_candidate,absent,incorrect
DEMO0028,7,MSOD06,C1,MSOD06_C1,low_qc_candidate,absent,correct
DEMO0028,8,MSOD03,C6,MSOD03_C6,high_qc_candidate,absent,incorrect
DEMO0028,9,MSOD02,C5,MSOD02_C5,high_qc_candidate,absent,correct
DEMO0028,10,MSOD01,C4,MSOD01_C4,low_qc_candidate,present,incorrect
DEMO0029,1,MSOD03,C7,MSOD03_C7,high_qc_candidate,present,correct
DEMO0029,2,MSOD05,C1,MSOD05_C1,low_qc_candidate,absent,correct
DEMO0029,3,MSOD04,C8,MSOD04_C8,high_qc_candidate,present,incorrect
DEMO0029,4,MSOD08,C4,MSOD08_C4,low_qc_candidate,present,incorrect
DEMO0029,5,MSOD10,C6,MSOD10_C6,high_qc_candidate,absent,incorrect
DEMO0029,6,MSOD06,C2,MSOD06_C2,low_qc_candidate,absent,incorrect
DEMO0029,7,MSOD02,C6,MSOD02_C6,high_qc_candidate,absent,incorrect
DEMO0029,8,MSOD07,C3,MSOD07_C3,low_qc_candidate,present,correct
DEMO0029,9,MSOD09,C5,MSOD09_C5,high_qc_candidate,absent,correct
DEMO0029,10,MSOD01,C5,MSOD01_C5,high_qc_candidate,absent,correct
DEMO0030,1,MSOD03,C8,MSOD03_C8,high_qc_candidate,present,incorrect
DEMO0030,2,MSOD01,C6,MSOD01_C6,high_qc_candidate,absent,incorrect
DEMO0030,3,MSOD08,C5,MSOD08_C5,high_qc_candidate,absent,correct
DEMO0030,4,MSOD09,C6,MSOD09_C6,high_qc_candidate,absent,incorrect
DEMO0030,5,MSOD10,C7,MSOD10_C7,high_qc_candidate,present,correct
DEMO0030,6,MSOD02,C7,MSOD02_C7,high_qc_candidate,present,correct
DEMO0030,7,MSOD04,C1,MSOD04_C1,low_qc_candidate,absent,correct
DEMO0030,8,MSOD06,C3,MSOD06_C3,low_qc_candidate,present,correct
DEMO0030,9,MSOD07,C4,MSOD07_C4,low_qc_candidate,present,incorrect
DEMO0030,10,MSOD05,C2,MSOD05_C2,low_qc_candidate,absent,incorrect
DEMO0031,1,MSOD06,C4,MSOD06_C4,low_qc_candidate,present,incorrect
DEMO0031,2,MSOD10,C8,MSOD10_C8,high_qc_candidate,present,incorrect
DEMO0031,3,MSOD02,C8,MSOD02_C8,high_qc_candidate,present,incorrect
DEMO0031,4,MSOD07,C5,MSOD07_C5,high_qc_candidate,absent,correct
DEMO0031,5,MSOD04,C2,MSOD04_C2,low_qc_candidate,absent,incorrect
DEMO0031,6,MSOD05,C3,MSOD05_C3,low_qc_candidate,present,correct
DEMO0031,7,MSOD01,C7,MSOD01_C7,high_qc_candidate,present,correct
DEMO0031,8,MSOD03,C1,MSOD03_C1,low_qc_candidate,absent,correct
DEMO0031,9,MSOD08,C6,MSOD08_C6,high_qc_candidate,absent,incorrect
DEMO0031,10,MSOD09,C7,MSOD09_C7,high_qc_candidate,present,correct
DEMO0032,1,MSOD04,C3,MSOD04_C3,low_qc_candidate,present,correct
DEMO0032,2,MSOD10,C1,MSOD10_C1,low_qc_candidate,absent,correct
DEMO0032,3,MSOD08,C7,MSOD08_C7,high_qc_candidate,present,correct
DEMO0032,4,MSOD06,C5,MSOD06_C5,high_qc_candidate,absent,correct
DEMO0032,5,MSOD05,C4,MSOD05_C4,low_qc_candidate,present,incorrect
DEMO0032,6,MSOD07,C6,MSOD07_C6,high_qc_candidate,absent,incorrect
DEMO0032,7,MSOD01,C8,MSOD01_C8,high_qc_candidate,present,incorrect
DEMO0032,8,MSOD02,C1,MSOD02_C1,low_qc_candidate,absent,correct
DEMO0032,9,MSOD03,C2,MSOD03_C2,low_qc_candidate,absent,incorrect
DEMO0032,10,MSOD09,C8,MSOD09_C8,high_qc_candidate,present,incorrect
DEMO0033,1,MSOD03,C3,MSOD03_C3,low_qc_candidate,present,correct
DEMO0033,2,MSOD09,C1,MSOD09_C1,low_qc_candidate,absent,correct
DEMO0033,3,MSOD06,C6,MSOD06_C6,high_qc_candidate,absent,incorrect
DEMO0033,4,MSOD10,C2,MSOD10_C2,low_qc_candidate,absent,incorrect
DEMO0033,5,MSOD02,C2,MSOD02_C2,low_qc_candidate,absent,incorrect
DEMO0033,6,MSOD05,C5,MSOD05_C5,high_qc_candidate,absent,correct
